route_id,service_id,trip_id,trip_headsign,"trip_short_name",direction_id,block_id,shape_id
"18_15","everyday","4809",,,,,"18_15"
"18_15","233","4810",,,,,"18_15"
"18_15","everyday","4811",,,,,"18_15"
"18_15","everyday","4812",,,,,"18_15"
"18_15","everyday","4813",,,,,"18_15"
"18_15","233","4814",,,,,"18_15"
"18_16","everyday","3139",,,,,"18_16"
"18_16","everyday","3146",,,,,"18_16"
"18_16","233","4815",,,,,"18_16"
"18_16","everyday","4816",,,,,"18_16"
"18_16","233","4817",,,,,"18_16"
"18_16","everyday","4818",,,,,"18_16"
"18_16","everyday","4819",,,,,"18_16"
"18_16","233","4820",,,,,"18_16"
"18_16","everyday","4821",,,,,"18_16"
"18_16","everyday","4822",,,,,"18_16"
"18_16","everyday","4823",,,,,"18_16"
"18_16","233","4824",,,,,"18_16"
"15_9","everyday","3151",,,,,"15_9"
"15_9","everyday","4829",,,,,"15_9"
"15_9","233","4830",,,,,"15_9"
"15_10","everyday","3154",,,,,"15_10"
"15_10","everyday","4831",,,,,"15_10"
"15_10","233","4833",,,,,"15_10"
"19_17","everyday","3160",,,,,"19_17"
"19_17","everyday","3161",,,,,"19_17"
"19_17","everyday","3163",,,,,"19_17"
"19_17","everyday","4246",,,,,"19_17"
"19_17","everyday","4247",,,,,"19_17"
"19_17","everyday","4837",,,,,"19_17"
"19_17","everyday","4838",,,,,"19_17"
"19_17","233","4839",,,,,"19_17"
"19_17","233","4840",,,,,"19_17"
"19_17","233","4841",,,,,"19_17"
"19_17","everyday","4843",,,,,"19_17"
"19_17","everyday","4844",,,,,"19_17"
"19_17","everyday","4845",,,,,"19_17"
"19_17","everyday","4846",,,,,"19_17"
"19_17","233","4848",,,,,"19_17"
"19_18","everyday","3420",,,,,"19_18"
"19_18","everyday","3421",,,,,"19_18"
"19_18","everyday","4250",,,,,"19_18"
"19_18","everyday","4251",,,,,"19_18"
"19_18","everyday","4252",,,,,"19_18"
"19_18","everyday","4254",,,,,"19_18"
"19_18","everyday","4255",,,,,"19_18"
"19_18","everyday","4852",,,,,"19_18"
"19_18","everyday","4853",,,,,"19_18"
"19_18","233","4854",,,,,"19_18"
"19_18","everyday","4855",,,,,"19_18"
"19_18","everyday","4856",,,,,"19_18"
"19_18","everyday","4857",,,,,"19_18"
"19_18","everyday","4858",,,,,"19_18"
"19_18","233","4859",,,,,"19_18"
"20_19","everyday","3166",,,,,"20_19"
"20_19","everyday","3169",,,,,"20_19"
"20_19","everyday","4257",,,,,"20_19"
"20_19","everyday","4259",,,,,"20_19"
"20_19","everyday","4860",,,,,"20_19"
"20_19","233","4861",,,,,"20_19"
"20_20","everyday","4261",,,,,"20_20"
"20_20","everyday","4262",,,,,"20_20"
"20_20","233","4863",,,,,"20_20"
"20_20","233","4866",,,,,"20_20"
"20_20","233","4868",,,,,"20_20"
"20_20","everyday","4869",,,,,"20_20"
"445_771","everyday","4592",,,,,"445_771"
"445_771","7","4708",,,,,"445_771"
"445_771","7","4709",,,,,"445_771"
"445_771","everyday","4710",,,,,"445_771"
"41_51","everyday","3176",,,,,"41_51"
"41_51","233","4164",,,,,"41_51"
"41_51","233","4874",,,,,"41_51"
"41_51","233","4875",,,,,"41_51"
"41_51","everyday","4877",,,,,"41_51"
"41_52","everyday","3180",,,,,"41_52"
"41_52","everyday","3182",,,,,"41_52"
"41_52","233","4881",,,,,"41_52"
"41_52","233","4882",,,,,"41_52"
"41_52","233","4883",,,,,"41_52"
"81_1204","everyday","5193",,,,,"81_1204"
"81_1204","everyday","5194",,,,,"81_1204"
"82_131","everyday","3435",,,,,"82_131"
"82_131","everyday","4893",,,,,"82_131"
"82_131","everyday","4896",,,,,"82_131"
"42_53","everyday","3189",,,,,"42_53"
"42_53","everyday","3194",,,,,"42_53"
"42_53","6","4862",,,,,"42_53"
"42_53","6","4864",,,,,"42_53"
"42_53","6","4865",,,,,"42_53"
"42_53","everyday","4867",,,,,"42_53"
"42_54","everyday","3195",,,,,"42_54"
"42_54","everyday","3199",,,,,"42_54"
"42_54","6","4870",,,,,"42_54"
"42_54","6","4871",,,,,"42_54"
"42_54","everyday","4872",,,,,"42_54"
"42_54","everyday","4873",,,,,"42_54"
"546_1028","everyday","3737",,,,,"546_1028"
"546_1028","everyday","3738",,,,,"546_1028"
"546_1028","everyday","4593",,,,,"546_1028"
"546_1028","everyday","4900",,,,,"546_1028"
"546_1028","everyday","4903",,,,,"546_1028"
"546_1029","everyday","3740",,,,,"546_1029"
"546_1029","everyday","3741",,,,,"546_1029"
"546_1029","everyday","4595",,,,,"546_1029"
"546_1029","everyday","4909",,,,,"546_1029"
"546_1029","233","4910",,,,,"546_1029"
"49_67","everyday","2945",,,,,"49_67"
"49_67","everyday","2947",,,,,"49_67"
"49_67","everyday","2948",,,,,"49_67"
"49_67","4","3869",,,,,"49_67"
"49_67","everyday","3870",,,,,"49_67"
"49_67","everyday","3871",,,,,"49_67"
"49_68","everyday","2951",,,,,"49_68"
"49_68","everyday","2953",,,,,"49_68"
"49_68","everyday","2954",,,,,"49_68"
"49_68","4","3863",,,,,"49_68"
"49_68","everyday","3864",,,,,"49_68"
"49_68","everyday","3865",,,,,"49_68"
"547_1030","everyday","3719",,,,,"547_1030"
"547_1030","everyday","4061",,,,,"547_1030"
"547_1030","everyday","4911",,,,,"547_1030"
"547_1030","everyday","4912",,,,,"547_1030"
"547_1030","everyday","4913",,,,,"547_1030"
"547_1031","everyday","3724",,,,,"547_1031"
"547_1031","everyday","4085",,,,,"547_1031"
"547_1031","everyday","4088",,,,,"547_1031"
"547_1031","everyday","4917",,,,,"547_1031"
"545_1026","everyday","3729",,,,,"545_1026"
"545_1026","everyday","3730",,,,,"545_1026"
"545_1026","everyday","4202",,,,,"545_1026"
"545_1026","everyday","4203",,,,,"545_1026"
"545_1026","233","4888",,,,,"545_1026"
"545_1026","233","4891",,,,,"545_1026"
"545_1026","everyday","4894",,,,,"545_1026"
"545_1026","everyday","4897",,,,,"545_1026"
"545_1026","everyday","4901",,,,,"545_1026"
"545_1026","233","4905",,,,,"545_1026"
"545_1027","everyday","3734",,,,,"545_1027"
"545_1027","everyday","4211",,,,,"545_1027"
"545_1027","everyday","4212",,,,,"545_1027"
"545_1027","everyday","4926",,,,,"545_1027"
"545_1027","233","4937",,,,,"545_1027"
"545_1027","233","4939",,,,,"545_1027"
"545_1032","everyday","4216",,,,,"545_1032"
"545_1032","everyday","4957",,,,,"545_1032"
"627_1335","everyday","6300",,,,,"627_1335"
"627_1335","everyday","6301",,,,,"627_1335"
"627_1335","everyday","6302",,,,,"627_1335"
"627_1335","everyday","6303",,,,,"627_1335"
"627_1344","everyday","6304",,,,,"627_1344"
"627_1344","everyday","6305",,,,,"627_1344"
"627_1344","everyday","6306",,,,,"627_1344"
"627_1344","233","6307",,,,,"627_1344"
"627_1344","233","6308",,,,,"627_1344"
