stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,zone_id,location_type,parent_station,stop_timezone
"P4633",,"滝ヶ原下","",35.320009,138.884972,,,0,,"Asia/Tokyo"
"P4631",,"滝ヶ原東","",35.322702,138.881516,,,0,,"Asia/Tokyo"
"P4629",,"馬術・スポーツセンター入口","",35.331364,138.884413,,,0,,"Asia/Tokyo"
"P4626",,"明見小橋下","",35.479773,138.826638,,,0,,"Asia/Tokyo"
"P4624",,"ケーヨーデーツー前","",35.482011,138.808705,,,0,,"Asia/Tokyo"
"P4622",,"吉田高校南口","",35.483509,138.806120,,,0,,"Asia/Tokyo"
"P4620",,"お茶屋町西","",35.485140,138.803089,,,0,,"Asia/Tokyo"
"P4618",,"頓堀橋","",35.485857,138.801182,,,0,,"Asia/Tokyo"
"P4091",,"中曽根","",35.485342,138.799540,,,0,,"Asia/Tokyo"
"P4092",,"金鳥居","",35.483931,138.798526,,,0,,"Asia/Tokyo"
"P3169",,"金鳥居公園前","",35.482267,138.797276,,,0,,"Asia/Tokyo"
"P3170",,"北稜高校入口","",35.480629,138.796063,,,0,,"Asia/Tokyo"
"P3171",,"コミュニティーセンター入口","",35.478543,138.794462,,,0,,"Asia/Tokyo"
"P3172",,"横町","",35.475822,138.792402,,,0,,"Asia/Tokyo"
"P2623",,"浅間神社前","",35.473181,138.794948,,,0,,"Asia/Tokyo"
"P3437",,"忍野入口","",35.452886,138.811709,,,0,,"Asia/Tokyo"
"P3431",,"北富士駐屯地入口","",35.447639,138.820061,,,0,,"Asia/Tokyo"
"P3433",,"中道入口","",35.444329,138.826260,,,0,,"Asia/Tokyo"
"P3434",,"梨ヶ原西","",35.441184,138.832405,,,0,,"Asia/Tokyo"
"P3364",,"富士平原ゴルフ場","",35.338742,138.891580,,,0,,"Asia/Tokyo"
"P3365",,"水土野","",35.336024,138.895388,,,0,,"Asia/Tokyo"
"P3366",,"水土野下","",35.331713,138.901949,,,0,,"Asia/Tokyo"
"P3367",,"上小林入口","",35.331184,138.903510,,,0,,"Asia/Tokyo"
"P3368",,"仁杉","",35.324028,138.909298,,,0,,"Asia/Tokyo"
"P3369",,"大橋（御殿場市）","",35.321341,138.911819,,,0,,"Asia/Tokyo"
"P3370",,"山口","",35.315856,138.917586,,,0,,"Asia/Tokyo"
"P3371",,"権現堂","",35.313978,138.920478,,,0,,"Asia/Tokyo"
"P3372",,"ぐみ沢","",35.309846,138.923192,,,0,,"Asia/Tokyo"
"P3373",,"図書館前","",35.306882,138.928868,,,0,,"Asia/Tokyo"
"P3374",,"湯沢","",35.303940,138.933299,,,0,,"Asia/Tokyo"
"P3375",,"六角堂","",35.302610,138.932719,,,0,,"Asia/Tokyo"
"P2584",,"河口湖駅(1番)","",35.498347,138.768772,,,0,"S984","Asia/Tokyo"
"P3168",,"山梨赤十字病院","",35.485545,138.767881,,,0,,"Asia/Tokyo"
"P1416",,"三ツ峠登山口","",35.556126,138.792032,,,0,,"Asia/Tokyo"
"P1417",,"天下茶屋","",35.556726,138.783712,,,0,,"Asia/Tokyo"
"P4135",,"ふじやま温泉","",35.483744,138.779109,,,0,,"Asia/Tokyo"
"P4348",,"ハイランドバスターミナル","",35.484681,138.776856,,,0,,"Asia/Tokyo"
"P4136",,"県立富士ビジターセンター入口","",35.486406,138.770757,,,0,,"Asia/Tokyo"
"P3184",,"区会事務所","",35.461491,138.830656,,,0,,"Asia/Tokyo"
"P3185",,"お宮橋","",35.462614,138.832362,,,0,,"Asia/Tokyo"
"P3186",,"忍野八海入口","",35.461987,138.833566,,,0,,"Asia/Tokyo"
"P3187",,"神鶴橋","",35.460043,138.836498,,,0,,"Asia/Tokyo"
"P3188",,"土橋","",35.459953,138.841395,,,0,,"Asia/Tokyo"
"P3445",,"石割山ハイキングコース入口","",35.430546,138.904776,,,0,,"Asia/Tokyo"
"P3447",,"上原","",35.434340,138.911653,,,0,,"Asia/Tokyo"
"P3448",,"つくし別荘地入口","",35.438431,138.918284,,,0,,"Asia/Tokyo"
"P3449",,"山伏峠","",35.451835,138.930402,,,0,,"Asia/Tokyo"
"P3450",,"道志ます釣り場前","",35.475286,138.950610,,,0,,"Asia/Tokyo"
"P3444",,"山中湖交流プラザ","",35.419727,138.902099,,,0,,"Asia/Tokyo"
"P3298",,"役場入口","",35.498729,138.756680,,,0,,"Asia/Tokyo"
"P3299",,"乳ヶ崎","",35.502872,138.757276,,,0,,"Asia/Tokyo"
"P3301",,"山梨宝石博物館・河口湖","",35.505924,138.763399,,,0,,"Asia/Tokyo"
"P3300",,"河口湖ハーブ館","",35.507542,138.762131,,,0,,"Asia/Tokyo"
"P3309",,"富士の宿おおはし","",35.508959,138.759086,,,0,,"Asia/Tokyo"
"P3310",,"八木崎公園","",35.510675,138.755900,,,0,,"Asia/Tokyo"
"P3311",,"河口湖ミューズ館入口","",35.510365,138.751893,,,0,,"Asia/Tokyo"
"P3312",,"若草の宿丸栄","",35.511317,138.750729,,,0,,"Asia/Tokyo"
"P3313",,"富士御室浅間神社","",35.509911,138.744994,,,0,,"Asia/Tokyo"
"P3314",,"敷島の松（富士ビューホテル）","",35.509376,138.739308,,,0,,"Asia/Tokyo"
"P3329",,"道の駅かつやま","",35.504612,138.734043,,,0,,"Asia/Tokyo"
"P2641",,"足和田キャンプ場・天神下","",35.501487,138.726042,,,0,,"Asia/Tokyo"
"P2645",,"長浜","",35.507446,138.714983,,,0,,"Asia/Tokyo"
"P2646",,"足和田支所前","",35.506885,138.711912,,,0,,"Asia/Tokyo"
"P3316",,"毛無山登山口","",35.505695,138.706091,,,0,,"Asia/Tokyo"
"P3317",,"西湖東口","",35.504904,138.702130,,,0,,"Asia/Tokyo"
"P3318",,"西湖津原浜","",35.500029,138.699364,,,0,,"Asia/Tokyo"
"P3319",,"こつぶら","",35.496539,138.695499,,,0,,"Asia/Tokyo"
"P3320",,"駒形","",35.496218,138.692586,,,0,,"Asia/Tokyo"
"P3321",,"三湖台下","",35.491997,138.685213,,,0,,"Asia/Tokyo"
"P2661",,"西湖民宿","",35.492209,138.677153,,,0,,"Asia/Tokyo"
"P2660",,"コウモリ穴入口","",35.494421,138.671282,,,0,,"Asia/Tokyo"
"P2658",,"根場民宿","",35.501522,138.662310,,,0,,"Asia/Tokyo"
"P3323",,"西湖いやしの里根場","",35.503147,138.661400,,,0,,"Asia/Tokyo"
"P3324",,"西湖野鳥の森公園","",35.498653,138.653163,,,0,,"Asia/Tokyo"
"P3325",,"御殿庭","",35.488313,138.644382,,,0,,"Asia/Tokyo"
"P3148",,"風穴","",35.479439,138.659139,,,0,,"Asia/Tokyo"
"P3326",,"竜宮洞穴入口","",35.486478,138.666977,,,0,,"Asia/Tokyo"
"P3327",,"根場入口","",35.501579,138.663232,,,0,,"Asia/Tokyo"
"P2655",,"大路原","",35.501712,138.673036,,,0,,"Asia/Tokyo"
"P3328",,"十二ヶ岳登山口","",35.503470,138.682829,,,0,,"Asia/Tokyo"
"P2650",,"西湖前浜","",35.505686,138.697404,,,0,,"Asia/Tokyo"
"P2633",,"乳ヶ崎","",35.504690,138.754637,,,0,,"Asia/Tokyo"
"P3198",,"内野","",35.457227,138.858562,,,0,,"Asia/Tokyo"
"P2619",,"西原","",35.482324,138.786013,,,0,,"Asia/Tokyo"
